평가년도,도서관구분,도서관명,행정구역,시군구,장서수(인쇄),사서수,대출자수,대출권수,도서예산(자료구입비)
2023,LIBTYPE000004,경복고등학교,서울,종로구,29811,1,726,827,16795000
2023,LIBTYPE000004,경신고등학교,서울,종로구,19150,1,1235,2044,15500000
2023,LIBTYPE000004,대신고등학교,서울,종로구,19915,1,695,1023,16000000
2023,LIBTYPE000004,동성고등학교,서울,종로구,26403,2,1832,2760,15000000
2023,LIBTYPE000004,중앙고등학교,서울,종로구,23715,1,1726,3055,11300000
2023,LIBTYPE000004,덕성여자고등학교,서울,종로구,10272,1,450,643,15000000
2023,LIBTYPE000004,배화여자고등학교,서울,종로구,26084,2,1173,1929,14330000
2023,LIBTYPE000004,상명대학교사범대학부속여자고등학교,서울,종로구,19547,1,757,1237,10000000
2023,LIBTYPE000004,서울과학고등학교,서울,종로구,22176,0,525,734,13500000
2023,LIBTYPE000004,서울예술고등학교,서울,종로구,16389,1,529,749,10000000
2023,LIBTYPE000004,서울국제고등학교,서울,종로구,33468,0,946,1348,33000000
2023,LIBTYPE000004,경기상업고등학교,서울,종로구,19115,0,231,306,11500000
2023,LIBTYPE000004,서일문화예술고등학교,서울,종로구,9403,0,79,113,10000000
2023,LIBTYPE000004,대동세무고등학교,서울,종로구,25824,1,1574,3024,20384000
2023,LIBTYPE000004,서울대학교사범대학부설초등학교,서울,종로구,32386,1,6356,14108,12000000
2023,LIBTYPE000004,서울교동초등학교,서울,종로구,14975,0,3958,6456,8800000
2023,LIBTYPE000004,서울독립문초등학교,서울,종로구,14100,0,5981,7809,11161000
2023,LIBTYPE000004,서울매동초등학교,서울,종로구,14286,0,2393,3447,11000000
2023,LIBTYPE000004,서울명신초등학교,서울,종로구,17062,0,8480,16588,10200000
2023,LIBTYPE000004,서울세검정초등학교,서울,종로구,16798,0,9937,14433,13000000
2023,LIBTYPE000004,서울재동초등학교,서울,종로구,12825,0,3431,4335,12160000
2023,LIBTYPE000004,서울창신초등학교,서울,종로구,17877,0,9955,14201,12000000
2023,LIBTYPE000004,서울청운초등학교,서울,종로구,20626,0,11877,17107,16000000
2023,LIBTYPE000004,서울혜화초등학교,서울,종로구,21444,0,9700,14375,10610000
2023,LIBTYPE000004,서울효제초등학교,서울,종로구,20640,1,1848,12650,10451000
2023,LIBTYPE000004,상명대학교사범대학부속초등학교,서울,종로구,19795,0,19915,35937,2500000
2023,LIBTYPE000004,운현초등학교,서울,종로구,13303,0,1950,3866,8250000
2023,LIBTYPE000004,서울대학교사범대학부설여자중학교,서울,종로구,15689,0,609,1697,8000000
2023,LIBTYPE000004,청운중학교,서울,종로구,24108,0,849,1159,15850000
2023,LIBTYPE000004,경신중학교,서울,종로구,4547,0,1399,1660,9000000
2023,LIBTYPE000004,대신중학교,서울,종로구,9748,0,777,1037,6000000
2023,LIBTYPE000004,동성중학교,서울,종로구,11264,0,457,547,9234000
2023,LIBTYPE000004,중앙중학교,서울,종로구,21438,0,597,1695,11000000
2023,LIBTYPE000004,덕성여자중학교,서울,종로구,7475,0,744,893,7000000
2023,LIBTYPE000004,배화여자중학교,서울,종로구,19478,0,984,1368,5000000
2023,LIBTYPE000004,상명대학교사범대학부속여자중학교,서울,종로구,12090,0,1782,2567,8900000
2023,LIBTYPE000004,성동고등학교,서울,중구,21176,1,391,597,16000000
2023,LIBTYPE000004,장충고등학교,서울,중구,16747,1,616,781,14500000
2023,LIBTYPE000004,환일고등학교,서울,중구,15209,0,432,675,13953000
2023,LIBTYPE000004,이화여자고등학교,서울,중구,44023,1,3481,6651,14500000
2023,LIBTYPE000004,이화여자외국어고등학교,서울,중구,15774,0,616,778,6000000
2023,LIBTYPE000004,성동공업고등학교,서울,중구,16375,0,201,271,8000000
2023,LIBTYPE000004,리라아트고등학교,서울,중구,9644,0,42,85,4000000
2023,LIBTYPE000004,한양공업고등학교,서울,중구,14075,1,902,1560,10000000
2023,LIBTYPE000004,성동글로벌경영고등학교,서울,중구,22419,0,216,321,8129000
2023,LIBTYPE000004,서울의료보건고등학교,서울,중구,9593,0,50,56,2000000
2023,LIBTYPE000004,대경생활과학고등학교,서울,중구,15380,1,592,1162,5000000
2023,LIBTYPE000004,서울광희초등학교,서울,중구,15505,0,9509,17708,10000000
2023,LIBTYPE000004,서울남산초등학교,서울,중구,8494,0,2522,3675,9000000
2023,LIBTYPE000004,서울덕수초등학교,서울,중구,23919,0,4241,7815,9000000
2023,LIBTYPE000004,서울봉래초등학교,서울,중구,23048,0,5040,9083,12000000
2023,LIBTYPE000004,서울장충초등학교,서울,중구,21727,0,3742,5635,11400000
2023,LIBTYPE000004,서울청구초등학교,서울,중구,30311,0,4874,6759,15000000
2023,LIBTYPE000004,서울충무초등학교,서울,중구,15254,0,3406,6014,8000000
2023,LIBTYPE000004,서울흥인초등학교,서울,중구,16300,0,3490,4776,10800000
2023,LIBTYPE000004,서울신당초등학교,서울,중구,18831,0,8325,14573,10000000
2023,LIBTYPE000004,동산초등학교,서울,중구,6646,0,5704,8210,10000000
2023,LIBTYPE000004,리라초등학교,서울,중구,19582,0,11150,18727,10600000
2023,LIBTYPE000004,숭의초등학교,서울,중구,17108,0,5964,9486,11200000
2023,LIBTYPE000004,덕수중학교,서울,중구,9997,0,806,1040,4000000
2023,LIBTYPE000004,금호여자중학교,서울,중구,17432,0,754,1353,15000000
2023,LIBTYPE000004,장원중학교,서울,중구,14872,0,1597,2167,7000000
2023,LIBTYPE000004,창덕여자중학교,서울,중구,13235,0,227,449,13000000
2023,LIBTYPE000004,대경중학교,서울,중구,6009,0,372,467,18000000
2023,LIBTYPE000004,장충중학교,서울,중구,12336,0,433,679,10000000
2023,LIBTYPE000004,한양중학교,서울,중구,10458,0,406,654,9600000
2023,LIBTYPE000004,환일중학교,서울,중구,8962,0,137,234,8657000
2023,LIBTYPE000004,용산고등학교,서울,용산구,19738,1,1534,2097,16582000
2023,LIBTYPE000004,중경고등학교,서울,용산구,12294,0,707,862,15795000
2023,LIBTYPE000004,배문고등학교,서울,용산구,16052,1,1476,1963,13500000
2023,LIBTYPE000004,오산고등학교,서울,용산구,6512,0,389,437,13000000
2023,LIBTYPE000004,보성여자고등학교,서울,용산구,20481,1,1323,3512,16500000
2023,LIBTYPE000004,성심여자고등학교,서울,용산구,32523,1,168,692,10900000
2023,LIBTYPE000004,신광여자고등학교,서울,용산구,28594,1,2016,3165,13100000
2023,LIBTYPE000004,용산철도고등학교,서울,용산구,18591,0,578,1315,8000000
2023,LIBTYPE000004,서울디지텍고등학교,서울,용산구,4379,0,1224,6120,4500000
2023,LIBTYPE000004,선린인터넷고등학교,서울,용산구,18679,0,305,424,7300000
2023,LIBTYPE000004,서울금양초등학교,서울,용산구,13410,0,5629,8441,14330000
2023,LIBTYPE000004,서울남정초등학교,서울,용산구,16925,0,5634,7642,10000000
2023,LIBTYPE000004,서울보광초등학교,서울,용산구,20662,0,3075,5249,11000000
2023,LIBTYPE000004,서울삼광초등학교,서울,용산구,17036,1,7153,11764,14234000
2023,LIBTYPE000004,서울서빙고초등학교,서울,용산구,18758,0,6303,7977,15500000
2023,LIBTYPE000004,서울신용산초등학교,서울,용산구,20658,1,10726,19225,14000000
2023,LIBTYPE000004,서울용산초등학교,서울,용산구,23116,0,7002,13086,10100000
2023,LIBTYPE000004,서울용암초등학교,서울,용산구,15981,0,2547,3829,10000000
2023,LIBTYPE000004,서울원효초등학교,서울,용산구,21081,0,11640,20974,11050000
2023,LIBTYPE000004,서울이태원초등학교,서울,용산구,19611,0,8375,17927,11000000
2023,LIBTYPE000004,서울청파초등학교,서울,용산구,20184,0,13774,19938,11324000
2023,LIBTYPE000004,서울한강초등학교,서울,용산구,24413,1,4231,7771,9400000
2023,LIBTYPE000004,서울한남초등학교,서울,용산구,15989,0,4571,8327,10496000
2023,LIBTYPE000004,서울후암초등학교,서울,용산구,15505,0,4939,9236,10395000
2023,LIBTYPE000004,신광초등학교,서울,용산구,48543,0,43364,97061,30000000
2023,LIBTYPE000004,선린중학교,서울,용산구,13301,0,1397,1766,8000000
2023,LIBTYPE000004,용강중학교,서울,용산구,22972,0,3268,4616,14200000
2023,LIBTYPE000004,용산중학교,서울,용산구,15547,0,1260,1529,10000000
2023,LIBTYPE000004,한강중학교,서울,용산구,19817,0,1353,2053,11440000
2023,LIBTYPE000004,배문중학교,서울,용산구,12750,0,856,1379,10040000
2023,LIBTYPE000004,오산중학교,서울,용산구,8901,0,804,956,10000000
2023,LIBTYPE000004,보성여자중학교,서울,용산구,10697,0,2012,3561,12700000
2023,LIBTYPE000004,신광여자중학교,서울,용산구,28594,0,2016,3165,10240000
2023,LIBTYPE000004,성심여자중학교,서울,용산구,9551,0,88,675,5000000
2023,LIBTYPE000004,무학여자고등학교,서울,성동구,19007,0,816,1933,14920000
2023,LIBTYPE000004,경일고등학교,서울,성동구,18257,1,888,1203,13500000
2023,LIBTYPE000004,성수고등학교,서울,성동구,16231,0,984,2265,13598000
2023,LIBTYPE000004,도선고등학교,서울,성동구,14061,1,1087,1540,18000000
2023,LIBTYPE000004,금호고등학교,서울,성동구,14771,0,899,1293,15300000
2023,LIBTYPE000004,한양대학교사범대학부속고등학교,서울,성동구,16302,1,687,1072,12000000
2023,LIBTYPE000004,서울방송고등학교,서울,성동구,13504,0,227,310,17052000
2023,LIBTYPE000004,성수공업고등학교,서울,성동구,18625,0,4,7,1381000
2023,LIBTYPE000004,덕수고등학교,서울,성동구,21473,0,19,109,11761000
2023,LIBTYPE000004,서울경동초등학교,서울,성동구,39510,1,21258,32141,14000000
2023,LIBTYPE000004,서울경수초등학교,서울,성동구,24555,0,5867,10960,13673000
2023,LIBTYPE000004,서울경일초등학교,서울,성동구,24578,0,5699,8569,20229000
2023,LIBTYPE000004,서울금북초등학교,서울,성동구,35659,1,47407,84159,17000000
2023,LIBTYPE000004,서울금옥초등학교,서울,성동구,18903,0,4518,7720,11500000
2023,LIBTYPE000004,서울금호초등학교,서울,성동구,20539,0,8691,14540,17000000
2023,LIBTYPE000004,서울동명초등학교,서울,성동구,23518,0,12891,19601,11374000
2023,LIBTYPE000004,서울무학초등학교,서울,성동구,31704,0,9020,14046,14000000
2023,LIBTYPE000004,서울사근초등학교,서울,성동구,16778,0,12571,21198,10000000
2023,LIBTYPE000004,서울성수초등학교,서울,성동구,21407,0,4934,10246,10800000
2023,LIBTYPE000004,서울옥수초등학교,서울,성동구,25267,0,9097,15195,13500000
2023,LIBTYPE000004,서울옥정초등학교,서울,성동구,29696,0,14989,21642,14480000
2023,LIBTYPE000004,서울용답초등학교,서울,성동구,16966,0,7374,10901,5000000
2023,LIBTYPE000004,서울행당초등학교,서울,성동구,17821,0,15873,23993,12000000
2023,LIBTYPE000004,서울응봉초등학교,서울,성동구,14990,0,10824,16927,12000000
2023,LIBTYPE000004,서울마장초등학교,서울,성동구,27833,0,5144,8888,13000000
2023,LIBTYPE000004,서울행현초등학교,서울,성동구,34881,0,11337,19289,14000000
2023,LIBTYPE000004,서울송원초등학교,서울,성동구,21280,0,7801,12802,13000000
2023,LIBTYPE000004,서울동호초등학교,서울,성동구,20622,0,9212,12562,11200000
2023,LIBTYPE000004,서울숭신초등학교,서울,성동구,18618,0,16119,22135,13000000
2023,LIBTYPE000004,한양초등학교,서울,성동구,36896,0,17380,49760,20000000
2023,LIBTYPE000004,경수중학교,서울,성동구,25383,0,633,884,7000000
2023,LIBTYPE000004,광희중학교,서울,성동구,26869,0,1153,1591,13080000
2023,LIBTYPE000004,동마중학교,서울,성동구,20308,0,963,1244,9000000
2023,LIBTYPE000004,성수중학교,서울,성동구,13361,0,700,1474,6383000
2023,LIBTYPE000004,옥정중학교,서울,성동구,15073,0,2206,3673,10350000
2023,LIBTYPE000004,무학중학교,서울,성동구,19861,0,1801,2313,3000000
2023,LIBTYPE000004,성원중학교,서울,성동구,17279,0,710,1032,9000000
2023,LIBTYPE000004,행당중학교,서울,성동구,16771,0,1566,2060,9960000
2023,LIBTYPE000004,경일중학교,서울,성동구,18384,0,918,1355,10000000
2023,LIBTYPE000004,마장중학교,서울,성동구,21116,0,525,1535,10400000
2023,LIBTYPE000004,한양대학교사범대학부속중학교,서울,성동구,10496,0,725,907,8000000
2023,LIBTYPE000004,광남고등학교,서울,광진구,20658,1,797,1308,20000000
2023,LIBTYPE000004,광양고등학교,서울,광진구,19634,1,555,1248,12000000
2023,LIBTYPE000004,자양고등학교,서울,광진구,23793,1,913,1308,11000000
2023,LIBTYPE000004,건국대학교사범대학부속고등학교,서울,광진구,24320,1,627,751,14600000
2023,LIBTYPE000004,대원고등학교,서울,광진구,12145,0,2080,2696,2000000
2023,LIBTYPE000004,대원여자고등학교,서울,광진구,16036,0,969,1236,22300000
2023,LIBTYPE000004,동국대학교사범대학부속여자고등학교,서울,광진구,31032,0,977,1321,10400000
2023,LIBTYPE000004,선화예술고등학교,서울,광진구,20309,0,326,444,8000000
2023,LIBTYPE000004,서울광남초등학교,서울,광진구,31094,0,12554,19305,15000000
2023,LIBTYPE000004,서울광장초등학교,서울,광진구,19740,0,7421,11568,10000000
2023,LIBTYPE000004,서울구남초등학교,서울,광진구,36018,1,24136,39732,15400000
2023,LIBTYPE000004,서울구의초등학교,서울,광진구,18657,0,10251,18567,12000000
2023,LIBTYPE000004,서울동의초등학교,서울,광진구,19367,0,14869,19562,12151000
2023,LIBTYPE000004,서울동자초등학교,서울,광진구,24493,0,18206,31165,19000000
